Borough,UHF42,Zip
BX,101,10463
BX,101,10471
BX,102,10466
BX,102,10469
BX,102,10470
BX,102,10475
BX,103,10458
BX,103,10467
BX,103,10468
BX,104,10461
BX,104,10462
BX,104,10464
BX,104,10465
BX,104,10472
BX,104,10473
BX,105,10453
BX,105,10457
BX,105,10460
BX,106,10451
BX,106,10452
BX,106,10456
BX,107,10454
BX,107,10455
BX,107,10459
BX,107,10474
BK,201,11211
BK,201,11222
BK,202,11201
BK,202,11205
BK,202,11215
BK,202,11217
BK,202,11231
BK,203,11213
BK,203,11212
BK,203,11216
BK,203,11233
BK,203,11238
BK,204,11207
BK,204,11208
BK,205,11220
BK,205,11232
BK,206,11204
BK,206,11218
BK,206,11219
BK,206,11230
BK,207,11203
BK,207,11210
BK,207,11225
BK,207,11226
BK,208,11234
BK,208,11236
BK,208,11239
BK,209,11209
BK,209,11214
BK,209,11228
BK,210,11223
BK,210,11224
BK,210,11229
BK,210,11235
BK,211,11206
BK,211,11221
BK,211,11237
MN,301,10031
MN,301,10032
MN,301,10033
MN,301,10034
MN,301,10040
MN,302,10026
MN,302,10027
MN,302,10030
MN,302,10037
MN,302,10039
MN,303,10029
MN,303,10035
MN,304,10023
MN,304,10024
MN,304,10025
MN,305,10021
MN,305,10028
MN,305,10044
MN,305,10128
MN,306,10001
MN,306,10011
MN,306,10018
MN,306,10019
MN,306,10020
MN,306,10036
MN,307,10010
MN,307,10016
MN,307,10017
MN,307,10022
MN,308,10012
MN,308,10013
MN,308,10014
MN,309,10002
MN,309,10003
MN,309,10009
MN,310,10004
MN,310,10005
MN,310,10006
MN,310,10007
MN,310,10038
MN,310,10280
QN,401,11101
QN,401,11102
QN,401,11103
QN,401,11104
QN,401,11105
QN,401,11106
QN,402,11368
QN,402,11369
QN,402,11370
QN,402,11372
QN,402,11373
QN,402,11377
QN,402,11378
QN,403,11354
QN,403,11355
QN,403,11356
QN,403,11357
QN,403,11358
QN,403,11359
QN,403,11360
QN,404,11361
QN,404,11362
QN,404,11363
QN,404,11364
QN,405,11374
QN,405,11375
QN,405,11379
QN,405,11385
QN,406,11365
QN,406,11366
QN,406,11367
QN,407,11414
QN,407,11415
QN,407,11416
QN,407,11417
QN,407,11418
QN,407,11419
QN,407,11420
QN,407,11421
QN,408,11412
QN,408,11423
QN,408,11432
QN,408,11433
QN,408,11434
QN,408,11435
QN,408,11436
QN,409,11004
QN,409,11005
QN,409,11411
QN,409,11413
QN,409,11422
QN,409,11426
QN,409,11427
QN,409,11428
QN,409,11429
QN,410,11691
QN,410,11692
QN,410,11693
QN,410,11694
QN,410,11695
QN,410,11697
SI,501,10302
SI,501,10303
SI,501,10310
SI,502,10301
SI,502,10304
SI,502,10305
SI,503,10314
SI,504,10306
SI,504,10307
SI,504,10308
SI,504,10309
SI,504,10312